station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-08 22:52:00,20.0,205.2,16.1,Clear
KATL,2025-03-08 23:52:00,18.3,111.6,16.1,Clear
KATL,2025-03-09 00:00:00,18.3,111.6,16.0,Clear
KATL,2025-03-09 00:52:00,17.8,147.6,16.1,Clear
KATL,2025-03-09 01:52:00,17.2,54.0,16.1,Clear
KATL,2025-03-09 02:52:00,16.7,111.6,16.1,Clear
KATL,2025-03-09 03:00:00,16.7,111.6,16.0,Clear
KATL,2025-03-09 03:52:00,15.6,111.6,16.1,Clear
KATL,2025-03-09 04:52:00,14.4,205.2,16.1,Clear
KATL,2025-03-09 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-09 05:52:00,13.9,147.6,16.1,Clear
KATL,2025-03-09 06:00:00,13.9,147.6,16.0,Clear
KATL,2025-03-09 06:52:00,13.9,147.6,16.1,Clear
KATL,2025-03-09 07:52:00,13.3,147.6,16.1,Clear
KATL,2025-03-09 08:52:00,13.3,0.0,16.1,Clear
KATL,2025-03-09 09:00:00,13.3,0.0,16.0,Clear
KATL,2025-03-09 09:52:00,12.8,75.6,16.1,Clear
KATL,2025-03-09 10:52:00,11.7,165.6,16.1,Clear
KATL,2025-03-09 11:52:00,11.7,165.6,16.1,Clear
KATL,2025-03-09 12:00:00,11.7,165.6,16.0,Clear
KATL,2025-03-09 12:52:00,11.7,241.2,16.1,Clear
KATL,2025-03-09 13:52:00,12.2,241.2,16.1,Clear
KATL,2025-03-09 14:52:00,10.6,129.6,9.7,Clear
KATL,2025-03-09 15:00:00,10.6,129.6,9.0,Clear
KATL,2025-03-09 15:52:00,8.9,147.6,9.7,Clear
KATL,2025-03-09 16:52:00,8.9,165.6,9.7,Clear
KATL,2025-03-09 17:52:00,8.9,183.6,12.9,Clear
KATL,2025-03-09 18:00:00,8.9,183.6,12.0,Clear
KATL,2025-03-09 18:09:00,9.4,183.6,12.9,Clear
KATL,2025-03-09 18:52:00,9.4,129.6,14.5,Clear
KATL,2025-03-09 19:52:00,9.4,183.6,9.7,Clear
KATL,2025-03-09 20:52:00,8.9,205.2,12.9,Clear
KATL,2025-03-09 21:00:00,8.9,205.2,12.0,Clear
KATL,2025-03-09 21:45:00,9.4,183.6,16.1,Clear
KATL,2025-03-09 21:52:00,9.4,183.6,16.1,Clear
KATL,2025-03-09 22:52:00,9.4,223.2,16.1,Clear
